序号,链接,标题,匹配语料
1,https://tass.ru/opinions/26184889,МнениеКанада не хочет стать 52-м американским штатом? Зачем премьер ездил к Си Цзиньпину18:30,"Поскольку Huawei — коммуникационный гигант, продвигающий китайское технологическое присутствие по всему миру, это была очень неприятная для Пекина история, создавшая негативный фон для китайско-канадских отношений на годы вперед."
2,https://tass.ru/opinions/26184889,МнениеКанада не хочет стать 52-м американским штатом? Зачем премьер ездил к Си Цзиньпину18:30,"А там все было непросто еще с тех пор, как в конце 2018 года канадцы (по запросу США) арестовали финансового директора и вице-председателя совета директоров Huawei Technologies Мэн Ваньчжоу, старшую дочь основателя компании Жэнь Чжэнфэя."
3,https://tass.ru/ekonomika/26126381,В Росатоме создали первый отечественный модульный инвертор для солнечных батарей12 января,"В компании подчеркнули, что существуют зарубежные аналоги в плане топологии работы от компаний Suntree, Sungrow, Huawei, Kstar, однако ни один из импортных приборов не является модульным, соответственно, требует больших затрат и простоев в ходе ремонта и обслуживания."
4,https://tass.ru/ekonomika/26114983,Apple может представить свой первый складной смартфон в сентябре10 января,Китайская компания Huawei выпустила первый в мире смартфон с такой конструкцией Huawei Mate XT в сентябре 2024 года.
5,https://tass.ru/ekonomika/26022731,"""Авито"": ноутбуки популярных брендов за год подешевели на 6-8%26 декабря 2025","рублей, у Huawei - на 15% (до 29 тыс."
6,https://tass.ru/ekonomika/26022731,"""Авито"": ноутбуки популярных брендов за год подешевели на 6-8%26 декабря 2025","Устройства от Apple показали рост на 14%, Huawei - на 6%."
7,https://tass.ru/obschestvo/26002383,Опрошенные россияне хотели бы получить на Новый год технику24 декабря 2025,"35% и 32% уверены в китайской и южнокорейской технике в качестве своего подарка - бренды Xiaomi, Huawei, Realme, Samsung или LG."
8,https://tass.ru/ekonomika/25934013,The Globe and Mail: Канада хочет наладить отношения с КНР для экспорта минералов17 декабря 2025,"Отношения Оттавы и Пекина резко испортились в 2018 году, когда в Ванкувере была задержана финансовый директор компании Huawei Мэн Ваньчжоу, которой грозила депортация в США по обвинению в мошенничестве и нарушении американских антииранских санкций."
9,https://tass.ru/ekonomika/25933621,Yonhap: партию складывающегося втрое смартфона Samsung распродали за две минуты17 декабря 2025,"Китайская компания Huawei выпустила первый в мире смартфон с такой конструкцией - Huawei Mate XT - в сентябре 2024 года, но он стоил дороже."
10,https://tass.ru/ekonomika/25926833,ТАСС: выпуск складывающегося втрое Samsung под вопросом из-за низкой прибыли16 декабря 2025,"Китайская компания Huawei выпустила первый в мире смартфон со складывающимся втрое экраном - Huawei Mate XT - в сентябре 2024 года, но он стоит дороже."
11,https://tass.ru/ekonomika/25896875,В Южной Корее за пять минут раскупили партию складывающихся смартфонов Samsung12 декабря 2025,"Китайская компания Huawei выпустила свой смартфон со складывающимся втрое экраном - Huawei Mate XT - в сентябре 2024 года, но он стоит дороже."
12,https://tass.ru/ekonomika/25787077,Samsung представил свой первый складывающийся втрое смартфон02 декабря 2025,Китайская компания Huawei выпустила свой смартфон со складывающимся втрое экраном - Huawei Mate XT - в сентябре 2024 года.
13,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,А вот владельцы устройств HUAWEI получают именно такой сервис.
14,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"Бесплатный ремонт Если с вашим планшетом, телефоном, ноутбуком, наушниками, умными часами или каким-то другим гаджетом HUAWEI что-то случилось, отдайте его в один из авторизованных сервисных центров."
15,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,© Пресс-служба HUAWEI Ориентировочное время диагностики и ремонта — три рабочих дня.
16,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"© Пресс-служба HUAWEI Кстати, девайс не обязательно должен быть неисправен."
17,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"ООО ""Техкомпания Хуавэй"", ИНН 7714186804​, erid: 2SDnjcyq8d5 © Информационное агентство ТАСС Свидетельство о регистрации СМИ №03247 выдано 02 апреля 1999 г."
