序号,链接,标题,匹配语料
1,https://russian.rt.com/opinion/941841-aksyonov-ssha-obvinenie-rossiya-vto,Санкционная амнезия,"Смогла же китайская Huawei не просто сравняться с западными достижениями в микроэлектронике, но и превзойти их."
2,https://russian.rt.com/world/article/936586-ssha-kitai-miroporyadok,Хранители «демократии»: почему США обвиняют Китай в намерении изменить мировой баланс сил,"Байден её просто продолжает, формируя антикитайские блоки, склоняя на свою сторону Индию, а также сдерживая развитие крупных китайских компаний ZTE и Huawei», — напомнил аналитик."
3,https://russian.rt.com/world/article/913735-velikobritaniya-torgovye-ekonomicheskie-soyuzy,«Восстановить позиции после брексита»: как Великобритания планирует заключать новые союзы по образцу AUKUS,Но США заставили её отказаться от услуг китайской Huawei по созданию для неё сети 5G.
4,https://russian.rt.com/world/article/913735-velikobritaniya-torgovye-ekonomicheskie-soyuzy,«Восстановить позиции после брексита»: как Великобритания планирует заключать новые союзы по образцу AUKUS,"Помимо этого, летом 2020-го британское правительство обязало мобильных провайдеров прекратить закупки оборудования для сетей 5G у компании Huawei и к 2027 году изъять уже установленную аппаратуру её производства из телекоммуникационных сетей пятого поколения."
5,https://russian.rt.com/world/news/910996-findirektor-huawei-vernulas-v-kitai,Финдиректор Huawei вернулась в Китай,"В январе 2019 года США официально предъявили компании Huawei и Ваньчжоу обвинения , в частности в попытке хищения коммерческой тайны у компании T-Mobile и нарушении санкций США против Ирана."
6,https://russian.rt.com/world/news/910996-findirektor-huawei-vernulas-v-kitai,Финдиректор Huawei вернулась в Китай,A charted flight carrying Huawei’s CFO Meng Wanzhou arrives at Shenzhen Bao’an International Airport on Saturday evening.
7,https://russian.rt.com/world/news/910996-findirektor-huawei-vernulas-v-kitai,Финдиректор Huawei вернулась в Китай,Финдиректор Huawei вернулась в Китай — РТ на русском Канал RT на Telegram.
8,https://russian.rt.com/world/news/910996-findirektor-huawei-vernulas-v-kitai,Финдиректор Huawei вернулась в Китай,Выделите её и нажмите «Ctrl + Enter» Подписывайтесь на наш канал в Дзен Huawei Канада Китай You use your browser with disabled JavaScript.
9,https://russian.rt.com/world/news/910934-huawei-sudebnoe-razbiratelstvo,Huawei продолжит отстаивать права компании в суде США,"В январе 2019 года США официально предъявили компании Huawei и Ваньчжоу обвинения , в частности, в попытке хищения коммерческой тайны у компании T-Mobile и нарушении санкций США против Ирана."
10,https://russian.rt.com/world/news/910934-huawei-sudebnoe-razbiratelstvo,Huawei продолжит отстаивать права компании в суде США,Huawei продолжит отстаивать права компании в суде США — РТ на русском Канал RT на Telegram.
11,https://russian.rt.com/world/news/910934-huawei-sudebnoe-razbiratelstvo,Huawei продолжит отстаивать права компании в суде США,"Министерство юстиции США также заявило, что продолжит судебное разбирательство в отношении Huawei."
12,https://russian.rt.com/world/news/910934-huawei-sudebnoe-razbiratelstvo,Huawei продолжит отстаивать права компании в суде США,"Huawei продолжит отстаивать свои права в судебном разбирательстве в федеральном окружном суде Восточного округа Нью-Йорка», — говорится в заявлении компании."
13,https://russian.rt.com/world/news/910862-minyust-ssha-prodolzhenie-huawei,Минюст США объявил о продолжении дела против Huawei,В январе 2019 года США официально предъявили обвинения компании Huawei и её финансовому директору Мэн Ваньчжоу.
14,https://russian.rt.com/world/news/910862-minyust-ssha-prodolzhenie-huawei,Минюст США объявил о продолжении дела против Huawei,"В декабре 2020 года Минюст США не исключал , что может заключить сделку с арестованным в Канаде финансовым директором Huawei Мэн Ваньчжоу, она подозревается в том числе в нарушении американских санкций против Ирана."
