序号,链接,标题,匹配语料
1,https://tass.ru/ekonomika/10395945,На Нью-Йоркской фондовой бирже прекратят торговлю акциями трех китайских компаний01 января 2021,"В перечне числится 31 предприятие, в том числе компания Huawei."
2,https://tass.ru/interviews/10366253,ИнтервьюГерман Греф: будет полегче,"Huawei и Alibaba в Китае, Facebook со Стэнфордским университетом, Google… Нет ни одной продвинутой образовательной платформы в мире, в которой не участвовали бы крупные технологические игроки."
3,https://tass.ru/ekonomika/10375261,Продажи смартфонов в России в 2020 году достигли рекордных 570 млрд рублей29 декабря 2020,"За ними следуют Apple с 11% и Huawei с 6,4%."
4,https://tass.ru/ekonomika/10375261,Продажи смартфонов в России в 2020 году достигли рекордных 570 млрд рублей29 декабря 2020,"В пятерке также оказались Honor, Xiaomi, Apple и Huawei."
5,https://tass.ru/ekonomika/10375261,Продажи смартфонов в России в 2020 году достигли рекордных 570 млрд рублей29 декабря 2020,"В денежном выражении первое место занимают смартфоны Apple - 36%, за ними следуют Samsung - 28%, Honor - 13,5%, Xiaomi - 13% и Huawei - 4%."
6,https://tass.ru/press-relizy/10376849,"UnionPay International объявляет о сотрудничестве с Банком ""Солидарность"" и Huawei29 декабря 2020","Это сотрудничество делает Банк «Солидарность» четвертым банком в России, запустившим HUAWEI Pay с UPI."
7,https://tass.ru/press-relizy/10376849,"UnionPay International объявляет о сотрудничестве с Банком ""Солидарность"" и Huawei29 декабря 2020","Пользователи Huawei Pay также могут воспользоваться широким спектром привилегий и акций , применимых к держателям бесконтактных карт UnionPay, включая подарки и скидки до 70 процентов в различных категориях, включая рестораны, отели, развлечения, транспорт и многие другие."
8,https://tass.ru/press-relizy/10376849,"UnionPay International объявляет о сотрудничестве с Банком ""Солидарность"" и Huawei29 декабря 2020","""Мы надеемся, что держатели карт Банка «Солидарность» смогут насладиться удобством и безопасностью, обеспечиваемыми сервисом HUAWEI Pay и платежной системой UnionPay."
9,https://tass.ru/press-relizy/10376849,"UnionPay International объявляет о сотрудничестве с Банком ""Солидарность"" и Huawei29 декабря 2020","""Мы очень рады дальнейшему расширению нашего сотрудничества с Банком «Солидарность» для продвижения HUAWEI Pay на российском рынке"", - сказал Ся Юй, глава российского офиса UnionPay International."
10,https://tass.ru/press-relizy/10376849,"UnionPay International объявляет о сотрудничестве с Банком ""Солидарность"" и Huawei29 декабря 2020","Преимущества глобальной сети HUAWEI, объем операционной деятельности во всем мире и развитая партнерская сеть построены на базе 30-летнего опыта работы в телекоммуникационной отрасли."
11,https://tass.ru/press-relizy/10376849,"UnionPay International объявляет о сотрудничестве с Банком ""Солидарность"" и Huawei29 декабря 2020",""" Для оплаты услуг держателям карт UnionPay Банка «Солидарность» необходимо воспользоваться предустановленным приложением Кошелек HUAWEI, которое также доступно в фирменном магазине приложений AppGallery."
12,https://tass.ru/press-relizy/10376849,"UnionPay International объявляет о сотрудничестве с Банком ""Солидарность"" и Huawei29 декабря 2020","Поскольку Россия входит в число стран и регионов-лидеров по количеству бесконтактных платежных операций, UPI в партнерстве с Huawei и крупными российскими банками с помощью HUAWEI Pay ускоряет локализацию мобильных бесконтактных платежей, UnionPay Mobile QuickPas, в стране."
13,https://tass.ru/press-relizy/10376849,"UnionPay International объявляет о сотрудничестве с Банком ""Солидарность"" и Huawei29 декабря 2020","com/ru/ О HUAWEI Consumer Business Group Продукты и сервисы HUAWEI доступны более чем в 170 странах и используются одной третью населения планеты, благодаря чему HUAWEI вошла в тройку лидирующих производителей смартфонов всего мира."
14,https://tass.ru/press-relizy/10376849,"UnionPay International объявляет о сотрудничестве с Банком ""Солидарность"" и Huawei29 декабря 2020","UnionPay International (UPI) объявляет, что держатели карт UnionPay Банка «Солидарность» теперь могут совершать бесконтактные платежи с помощью Huawei Pay, используя свои смартфоны HUAWEI или HONOR."
15,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","""В Петербурге есть центр разработок Huawei, где работают наши выпускники."
16,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","Студенты МТУСИ, проходящие обучение по направлениям, связанным с телекоммуникациями, информационными технологиями и информационной безопасностью, в процессе учебы занимаются в лабораториях и учебных центрах, оборудованных аппаратурой производства компании Huawei."
17,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","O том, чем они важны, рассказывают ректоры ведущих технических вузов Редакция сайта ТАСС 25 декабря 2020, 15:42 © Huawei Кадровый дефицит в сфере информационно-коммуникационных технологий (ИКТ) растет прямо пропорционально рынку соответствующей отрасли."
18,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","Поэтому неудивительно, что наши студенты становятся специалистами, востребованными как компанией Huawei, так и другими ведущими российскими и зарубежными IТ- и телеком-компаниями"", - сказал Ерохин."
19,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020",Подтверждением служит число конкурсантов с первого этапа Huawei Honor Cup.
20,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","""Мы уже дважды проводили региональные этапы Huawei Honor Cup на своей площадке, сейчас в финал вышли три наших студента."
21,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","""Для нас важно, чтобы студенты активно участвовали в Huawei Honor Cup, отрабатывали практические навыки работы на самом современном оборудовании, развивали в командной борьбе навыки soft-skills, необходимые им на пути построения профессиональной траектории"", - добавил ректор."
22,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","5G, ""облака"" и спортивное программирование В нынешнем году соревнования Huawei Honor Cup проводятся по восьми направлениям."
23,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020",Одним из примеров такого сотрудничества стал проект Huawei Honor Cup .
24,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","Задать ориентиры, начать карьеру Вице-президент Huawei в регионе Евразия У Сай отметил, что компания стремится обучать специалистов во всех странах присутствия."
25,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","В МТУСИ действует научно-образовательный центр, созданный совместно с компанией Huawei, в головном вузе и в ростовском филиале активно работает проект ""ИКТ Академия Huawei""."
26,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","По его словам, НГТУ первым из российских технических вузов подписал с Huawei договор о сотрудничестве и намерен предложить компании свою площадку для проведения финальных соревнований в ближайшем будущем."
27,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","Он также отметил, что, ежегодно участвуя в соревнованиях Huawei Honor Cup, студенты получают бесценный профессиональный опыт."
28,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","За звание ""Лучший эксперт HCIE"" поборются партнеры и заказчики Huawei, прошедшие соответствующую сертификацию."
29,https://tass.ru/obschestvo/10356939,"""Кубок чести"" Huawei для рыцарей ИКТ: как IT-гигант помогает российским университетам25 декабря 2020","""Наше взаимовыгодное сотрудничество с компанией Huawei развивается уже более 20 лет."
30,https://tass.ru/ekonomika/10338633,СМИ: украинский МИД пообещал Госдепартаменту демонтировать все оборудование Huawei24 декабря 2020,"""Министерство иностранных дел решило убрать все оборудование Huawei со своих зданий, этого примера придерживались и несколько других правительственных учреждений"", - говорится в сообщении."
31,https://tass.ru/ekonomika/10338633,СМИ: украинский МИД пообещал Госдепартаменту демонтировать все оборудование Huawei24 декабря 2020,"Благодаря техническому решению от Huawei, одну базовую станцию в столичной подземке могут использовать сразу все три мобильных оператора."
32,https://tass.ru/ekonomika/10338633,СМИ: украинский МИД пообещал Госдепартаменту демонтировать все оборудование Huawei24 декабря 2020,"Министерство иностранных дел Украины демонтирует все оборудование китайской компании Huawei, установленное на ведомственных зданиях."
33,https://tass.ru/ekonomika/10338633,СМИ: украинский МИД пообещал Госдепартаменту демонтировать все оборудование Huawei24 декабря 2020,"Он напомнил, что украинская власть недавно отказалась сотрудничать с Huawei в проекте создания ""умного города"", отдав предпочтение американской Cisco."
34,https://tass.ru/ekonomika/10338633,СМИ: украинский МИД пообещал Госдепартаменту демонтировать все оборудование Huawei24 декабря 2020,На Украине компания Huawei обеспечивает работу общей 4G сети в киевском метрополитене.
