序号,链接,标题,匹配语料
1,https://tass.ru/novosti-partnerov/7542757,XI Гайдаровский форум подвел итоги второго дня17 января 2020,"Партнеры – группа компаний ""Просвещение"", EY, компания Huawei, АО ""РВК"", АО ""Российский сельскохозяйственный банк""."
2,https://tass.ru/novosti-partnerov/7533039,XI Гайдаровский форум подвел итоги первого дня16 января 2020,"Партнеры – Группа компаний ""Просвещение"", EY, компания Huawei, АО ""РВК"", АО ""Российский сельскохозяйственный банк"", EDCRUNCH."
3,https://tass.ru/ekonomika/7529727,Huawei представила AI-решение для оптимизации управления солнечными электростанциями16 января 2020,Huawei разработала умное решение AI Boost FusionSolar для оптимизации управления солнечными электростанциями на базе самообучающихся AI-алгоритмов.
4,https://tass.ru/ekonomika/7519981,В Huawei надеются на разумное решение о сотрудничестве с ней Британии по 5G15 января 2020,"Чжан также отметил, что два британских парламентских комитета не нашли препятствий для сотрудничества с Huawei."
5,https://tass.ru/ekonomika/7519981,В Huawei надеются на разумное решение о сотрудничестве с ней Британии по 5G15 января 2020,"Ранее во вторник вещательная корпорация Би-би-си сообщила, что Вашингтон передал Лондону досье с технической информацией, которая поставила под сомнение данную британской разведкой оценку возможности использовать Huawei в инфраструктуре сетей 5G без риска для национальной безопасности."
6,https://tass.ru/ekonomika/7519981,В Huawei надеются на разумное решение о сотрудничестве с ней Британии по 5G15 января 2020,"Правительство Великобритании планировало заключить с Huawei контракт на поставку оборудования для сетей 5G, однако после того, как компания оказалась в центре скандала, связанного с обвинениями в техническом шпионаже и сборе секретных сведений с помощью своего оборудования, власти Соединенного Королевства решили взять паузу в этом вопросе."
7,https://tass.ru/ekonomika/7519981,В Huawei надеются на разумное решение о сотрудничестве с ней Британии по 5G15 января 2020,"Читайте также В чем обвиняли Huawei ""Мы уверены, что правительство Великобритании примет решение, основывающееся на доказательствах, а не на пустых обвинениях"", - сказал он."
8,https://tass.ru/ekonomika/7519981,В Huawei надеются на разумное решение о сотрудничестве с ней Британии по 5G15 января 2020,"Китайская корпорация Huawei рассчитывает, что власти Великобритании оценят данные о ее деятельности и примут взвешенное решение о дальнейшем сотрудничестве в создании систем мобильной связи пятого поколения (5G) в стране."
9,https://tass.ru/ekonomika/7519981,В Huawei надеются на разумное решение о сотрудничестве с ней Британии по 5G15 января 2020,США Великобритания Санкции США против Huawei © Информационное агентство ТАСС Свидетельство о регистрации СМИ №03247 выдано 02 апреля 1999 г.
10,https://tass.ru/novosti-partnerov/7516953,ХI Гайдаровский форум соберет более 14,"Партнеры – Группа компаний ""Просвещение"", EY, компания Huawei, АО ""РВК"", АО ""Российский сельскохозяйственный банк""."
11,https://tass.ru/press-relizy/7516567,Мондрагонский университет внедряет модель образования с технологией Huawei Wi-Fi 614 января 2020,"Успешно прошедшая апробационные испытания технология Wi-Fi 6 от Huawei обеспечивает исключительное качество связи Ознакомившись с задачами и существующими проблемами ИТ-персонала университета, компания Huawei совместно с региональными партнерами организовала проведение испытаний с целью создания высокоскоростной и стабильной сети Wi-Fi для студентов и преподавателей."
12,https://tass.ru/press-relizy/7516567,Мондрагонский университет внедряет модель образования с технологией Huawei Wi-Fi 614 января 2020,В процессе испытаний они смогли лично убедиться в превосходных эксплуатационных характеристиках точек доступа Huawei даже в условиях высокой пользовательской нагрузки на сеть.
13,https://tass.ru/press-relizy/7516567,Мондрагонский университет внедряет модель образования с технологией Huawei Wi-Fi 614 января 2020,Технология Huawei AirEngine Wi-Fi 6 разработана специально для удовлетворения растущих требований к данными в эпоху интеллектуальных инноваций и способна поддерживать работу самых разнообразных учебных приложений в университете 21-го столетия.
14,https://tass.ru/press-relizy/7516567,Мондрагонский университет внедряет модель образования с технологией Huawei Wi-Fi 614 января 2020,"Huawei и дальше будет всячески способствовать развитию отрасли Wi-Fi 6, тесно сотрудничая с отраслевыми партнерами в вопросах обеспечения повсеместного сетевого доступа и внедрения интеллектуальных технологий в колледжах, университетах, правительственных организациях и частных предприятий, открывая своим пользователям практически безграничные преимущества цифровой трансформации."
15,https://tass.ru/press-relizy/7516567,Мондрагонский университет внедряет модель образования с технологией Huawei Wi-Fi 614 января 2020,"com/en/case-studies/leading-new-ict/2020/mondragon-university-wifi6 КОНТАКТНАЯ ИНФОРМАЦИЯ: Ли Цивэй (Qiwei Li), +86-180-2533-9127, liqiwei2@huawei."
16,https://tass.ru/press-relizy/7516567,Мондрагонский университет внедряет модель образования с технологией Huawei Wi-Fi 614 января 2020,/PRNewswire/ -- Компания Huawei и отраслевая ассоциация WBA недавно анонсировали проведение ряда проверочных испытаний Wi-Fi 6 на территории Мондрагонского университета в Испании.
17,https://tass.ru/press-relizy/7516567,Мондрагонский университет внедряет модель образования с технологией Huawei Wi-Fi 614 января 2020,"Тестирование Wi-Fi 6: расширяя границы и преодолевая преграды В ходе недавней конференции Wireless Global Congress, организованной отраслевой ассоциацией Wireless Broadband Alliance (WBA), компания Huawei и WBA анонсировали совместный запуск экспериментальной программы тестирования прикладных сценариев применения Wi-Fi 6 в колледжах и университетах."
18,https://tass.ru/press-relizy/7516567,Мондрагонский университет внедряет модель образования с технологией Huawei Wi-Fi 614 января 2020,"В коридорах, где беспроводные сигналы движутся вместе с пользователями, были установлены оснащенные смарт-антеннами точки доступа Huawei AP5760-10s, обеспечивающие интеллектуальное усиление сигнала в зонах с нестабильным покрытием."
19,https://tass.ru/press-relizy/7516567,Мондрагонский университет внедряет модель образования с технологией Huawei Wi-Fi 614 января 2020,Разработанное компанией Huawei решение AirEngine Wi-Fi 6 уже широко используется в различных регионах земного шара.
20,https://tass.ru/mezhdunarodnaya-panorama/7513887,СМИ: США представили Лондону техническое досье на Huawei14 января 2020,Huawei была основана в 1987 году.
21,https://tass.ru/mezhdunarodnaya-panorama/7513887,СМИ: США представили Лондону техническое досье на Huawei14 января 2020,"Читайте также В чем обвиняли Huawei Американские источники отказались, по ее данным, комментировать содержание файла, однако заявили журналистам, что использование технологии Huawei в создании систем 5G в Великобритании станет ""актом безумия""."
22,https://tass.ru/mezhdunarodnaya-panorama/7513887,СМИ: США представили Лондону техническое досье на Huawei14 января 2020,Вопрос об использовании оборудования Huawei при развертывании 5G в Великобритании будет обсуждаться в январе на заседании британского Совета безопасности под председательством премьер-министра Бориса Джонсона.
23,https://tass.ru/mezhdunarodnaya-panorama/7513887,СМИ: США представили Лондону техническое досье на Huawei14 января 2020,"Представители администрации США передали Лондону досье с технической информацией, которая, как утверждают источники, поставила под сомнение оценку британской разведки о возможности использовать Huawei в инфраструктуре систем мобильной связи пятого поколения (5G) без риска для национальной безопасности."
24,https://tass.ru/mezhdunarodnaya-panorama/7513887,СМИ: США представили Лондону техническое досье на Huawei14 января 2020,"Газета Financial Times во вторник приводит распространенное накануне заявление Huawei, в котором компания напомнила, что является частной, ""поставляет 3G, 4G и широкополосное оборудование для телекоммуникационных компаний Великобритании в течение 15 лет""."
25,https://tass.ru/mezhdunarodnaya-panorama/7513887,СМИ: США представили Лондону техническое досье на Huawei14 января 2020,"Планы и скандалы Британское правительство планировало заключить с Huawei контракт на поставку оборудования для сетей 5G, однако после того, как компания оказалась в центре скандала, связанного с обвинениями в техническом шпионаже и сборе секретных данных с помощью своего оборудования, власти Соединенного Королевства решили взять паузу в этом вопросе."
26,https://tass.ru/mezhdunarodnaya-panorama/7513887,СМИ: США представили Лондону техническое досье на Huawei14 января 2020,США Великобритания Санкции США против Huawei © Информационное агентство ТАСС Свидетельство о регистрации СМИ №03247 выдано 02 апреля 1999 г.
27,https://tass.ru/mezhdunarodnaya-panorama/7513519,США призывают другие страны не допускать Huawei к созданию сетей 5G14 января 2020,"США Китай Помпео, Майкл (Майк) Санкции США против Huawei © Информационное агентство ТАСС Свидетельство о регистрации СМИ №03247 выдано 02 апреля 1999 г."
28,https://tass.ru/mezhdunarodnaya-panorama/7513519,США призывают другие страны не допускать Huawei к созданию сетей 5G14 января 2020,"Читайте также В чем обвиняли Huawei ""Мы призываем наших союзников и партнеров не позволять Huawei участвовать в создании сетей 5G"", - сказал Помпео."
29,https://tass.ru/mezhdunarodnaya-panorama/7513519,США призывают другие страны не допускать Huawei к созданию сетей 5G14 января 2020,Госсекретарь США Майкл Помпео призвал американских союзников и партнеров не допускать компанию Huawei к участию в создании своих систем мобильной связи пятого поколения (5G).
30,https://tass.ru/mezhdunarodnaya-panorama/7507519,FT: США планируют отказаться от использования китайских дронов13 января 2020,"Позже стало известно, что Министерство торговли США внесет китайскую компанию Huawei и связанные с ней юридические лица в свой черный список из-за угрозы национальной безопасности."
