序号,来源URL,语句内容,关键词
1,https://www.kommersant.ru/doc/4917030,"По данным розничных сетей, лидируют по продажам смартфонов с модулем связи пятого поколения Apple, Samsung, Honor, Xiaomi и Huawei",Huawei
2,https://www.kommersant.ru/doc/4681011,"Как следует из отчета (имеется в распоряжении редакции), наибольшую долю рынка (25%) в последние три месяца прошлого года занимала компания Huawei",Huawei
3,https://www.kommersant.ru/doc/4681011,"Компания Xiaomi оказалась единственной из тройки лидеров, зафиксировавшей рост (11%), притом что сокращение доли у Huawei составило 27%, у Samsung — 18%",Huawei
4,https://www.kommersant.ru/doc/5029973,"2021, 12:51





                «В запасе есть технология RAID-TP»
            

                Александр Леви — о разработках Huawei
            



Обозреватель “Ъ FM” Александр Леви рассказывает, как система хранения данных OceanStor Dorado может снизить риски для компаний",Huawei
5,https://www.kommersant.ru/doc/5029973,"Выйти из полноэкранного режима








Развернуть на весь экран













Фото: Huawei








Фото: Huawei




Представители Huawei скромничают лишний раз упоминать, но между тем по количеству патентов в области IT китайский вендор оставил позади таких гигантов, как Intel, Google и Microsoft",Huawei
6,https://www.kommersant.ru/doc/5029973,"Поэтому при создании систем хранения данных линейки Huawei OceanStor Dorado компоненты собственной разработки являются преимуществом, дополнительной гарантией контроля, предсказуемости, совместимости устройства с другими его элементами и программным обеспечением, что в целом легко конвертировать в надежность",Huawei
7,https://www.kommersant.ru/doc/5029973,"Кроме передовой аппаратной платформы Huawei, в основе OceanStor Dorado 18000 V6 лежит полностью взаимосвязанная архитектура SmartMatrix",Huawei
8,https://www.kommersant.ru/doc/5029973,"Тем не менее, СХД от Huawei готовы и к этому",Huawei
9,https://www.kommersant.ru/doc/4663228,"Таким образом, «Ситрониксу» придется на равных конкурировать на российском рынке с иностранными производителями, например китайской Huawei, отмечает директор компании «Промобит» Максим Копосов",Huawei
10,https://www.kommersant.ru/doc/4790468,Huawei локализует производство серверов в России совместно с компанией «Ситроникс»,Huawei
11,https://www.kommersant.ru/doc/4790468,С новым партнером Huawei рассчитывает стать эксклюзивным поставщиком для МТС и войти в реестр отечественного оборудования,Huawei
12,https://www.kommersant.ru/doc/5060127,"Выручка Huawei за три квартала упала на 32% – Коммерсантъ






































































































































 


Реклама в «Ъ» www",Huawei
13,https://www.kommersant.ru/doc/5060127,"2021, 16:50





                Выручка Huawei за три квартала упала на 32%
            



Китайская компания Huawei Technologies опубликовала финансовые результаты первых трех кварталов текущего года",Huawei
14,https://www.kommersant.ru/doc/5060127,"Будучи частной компанией, Huawei Technologies публикует не все данные, однако деловые СМИ подсчитали, что показатель выручки у компании упал на 32% за девять месяцев",Huawei
15,https://www.kommersant.ru/doc/5060127,"По оценкам исследовательской компании Counterpoint Research, продажи смартфонов Huawei в третьем квартале упали на 84%",Huawei
16,https://www.kommersant.ru/doc/5060127,"Из-за этого Huawei Technologies, которая во втором квартале 2020 года была на первом месте в мире по размеру доли рынка, сейчас занимает по этому показателю 11-е место, ее доля составляет всего 2%",Huawei
17,https://www.kommersant.ru/doc/4780296,Технологическую платформу для видеосервиса разработала Huawei,Huawei
